Series_Title,Genre,Director,Star1,Star2,Star3,Star4
The Shawshank Redemption,Drama,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler
The Godfather,"Crime, Drama",Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton
The Dark Knight,"Action, Crime, Drama",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine
The Godfather: Part II,"Crime, Drama",Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
12 Angry Men,"Crime, Drama",Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom
Pulp Fiction,"Crime, Drama",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
Schindler's List,"Biography, Drama, History",Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall
Inception,"Action, Adventure, Sci-Fi",Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe
Fight Club,Drama,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean
Forrest Gump,"Drama, Romance",Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field
"Il buono, il brutto, il cattivo",Western,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom
The Matrix,"Action, Sci-Fi",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Goodfellas,"Biography, Crime, Drama",Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
One Flew Over the Cuckoo's Nest,Drama,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco
Hamilton,"Biography, Drama, History",Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry
Gisaengchung,"Comedy, Drama, Thriller",Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik
Soorarai Pottru,Drama,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali
Interstellar,"Adventure, Drama, Sci-Fi",Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy
Cidade de Deus,"Crime, Drama",Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi
Saving Private Ryan,"Drama, War",Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns
The Green Mile,"Crime, Drama, Fantasy",Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt
La vita è bella,"Comedy, Drama, Romance",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
Se7en,"Crime, Drama, Mystery",David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker
The Silence of the Lambs,"Crime, Drama, Thriller",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons
Star Wars,"Action, Adventure, Fantasy",George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness
Seppuku,"Action, Drama, Mystery",Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba
Shichinin no samurai,"Action, Adventure, Drama",Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki
It's a Wonderful Life,"Drama, Family, Fantasy",Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell
Joker,"Crime, Drama, Thriller",Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy
Whiplash,"Drama, Music",Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser
The Intouchables,"Biography, Comedy, Drama",Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny
The Prestige,"Drama, Mystery, Sci-Fi",Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine
The Departed,"Crime, Drama, Thriller",Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg
The Pianist,"Biography, Drama, Music",Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox
Gladiator,"Action, Adventure, Drama",Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed
American History X,Drama,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien
The Usual Suspects,"Crime, Mystery, Thriller",Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin
Léon,"Action, Crime, Drama",Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello
The Lion King,"Animation, Adventure, Drama",Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones
Terminator 2: Judgment Day,"Action, Sci-Fi",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick
Nuovo Cinema Paradiso,"Drama, Romance",Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli
Hotaru no haka,"Animation, Drama, War",Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara
Back to the Future,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover
Once Upon a Time in the West,Western,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards
Psycho,"Horror, Mystery, Thriller",Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin
Casablanca,"Drama, Romance, War",Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains
Modern Times,"Comedy, Drama, Family",Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford
City Lights,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers
Capharnaüm,Drama,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad
Ayla: The Daughter of War,"Biography, Drama, History",Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee
Vikram Vedha,"Action, Crime, Drama",Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath
Kimi no na wa.,"Animation, Drama, Fantasy",Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki
Dangal,"Action, Biography, Drama",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson
Avengers: Endgame,"Action, Adventure, Drama",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Avengers: Infinity War,"Action, Adventure, Sci-Fi",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Coco,"Animation, Adventure, Family",Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Django Unchained,"Drama, Western",Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington
The Dark Knight Rises,"Action, Adventure",Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman
3 Idiots,"Comedy, Drama",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi
Taare Zameen Par,"Drama, Family",Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra
WALL·E,"Animation, Adventure, Family",Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard
The Lives of Others,"Drama, Mystery, Thriller",Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur
Oldeuboi,"Action, Drama, Mystery",Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok
Memento,"Mystery, Thriller",Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior
Mononoke-hime,"Animation, Action, Adventure",Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup
Once Upon a Time in America,"Crime, Drama",Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams
Raiders of the Lost Ark,"Action, Adventure",Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies
The Shining,"Drama, Horror",Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers
Apocalypse Now,"Drama, Mystery, War",Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest
Alien,"Horror, Sci-Fi",Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright
Anand,"Drama, Musical",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo
Tengoku to jigoku,"Crime, Drama, Mystery",Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn
Witness for the Prosecution,"Crime, Drama, Mystery",Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester
Paths of Glory,"Drama, War",Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready
Rear Window,"Mystery, Thriller",Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter
Sunset Blvd.,"Drama, Film-Noir",Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson
The Great Dictator,"Comedy, Drama, War",Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner
1917,"Drama, Thriller, War",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth
Tumbbad,"Drama, Fantasy, Horror",Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe
Andhadhun,"Crime, Drama, Music",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan
Drishyam,"Crime, Drama, Thriller",Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba
Jagten,Drama,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm
Jodaeiye Nader az Simin,Drama,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini
Incendies,"Drama, Mystery, War",Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel
