Released_Year,Runtime,IMDB_Rating,Meta_score,No_of_Votes,Gross
1994,142,9.3,80.0,2343110,"28,341,469"
1972,175,9.2,100.0,1620367,"134,966,411"
2008,152,9.0,84.0,2303232,"534,858,444"
1974,202,9.0,90.0,1129952,"57,300,000"
1957,96,9.0,96.0,689845,"4,360,000"
2003,201,8.9,94.0,1642758,"377,845,905"
1994,154,8.9,94.0,1826188,"107,928,762"
1993,195,8.9,94.0,1213505,"96,898,818"
2010,148,8.8,74.0,2067042,"292,576,195"
1999,139,8.8,66.0,1854740,"37,030,102"
2001,178,8.8,92.0,1661481,"315,544,750"
1994,142,8.8,82.0,1809221,"330,252,182"
1966,161,8.8,90.0,688390,"6,100,000"
2002,179,8.7,87.0,1485555,"342,551,365"
1999,136,8.7,73.0,1676426,"171,479,930"
1990,146,8.7,90.0,1020727,"46,836,394"
1980,124,8.7,82.0,1159315,"290,475,067"
1975,133,8.7,83.0,918088,"112,000,000"
2020,160,8.6,90.0,55291,
2019,132,8.6,96.0,552778,"53,367,844"
2020,153,8.6,,54995,
2014,169,8.6,74.0,1512360,"188,020,017"
2002,130,8.6,79.0,699256,"7,563,397"
2001,125,8.6,96.0,651376,"10,055,859"
1998,169,8.6,91.0,1235804,"216,540,909"
1999,189,8.6,61.0,1147794,"136,801,374"
1997,116,8.6,59.0,623629,"57,598,247"
1995,127,8.6,65.0,1445096,"100,125,643"
1991,118,8.6,85.0,1270197,"130,742,922"
1977,121,8.6,90.0,1231473,"322,740,140"
1962,133,8.6,85.0,42004,
1954,207,8.6,98.0,315744,"269,061"
1946,130,8.6,89.0,405801,
2019,122,8.5,59.0,939252,"335,451,311"
2014,106,8.5,88.0,717585,"13,092,000"
2011,112,8.5,57.0,760360,"13,182,281"
2006,130,8.5,66.0,1190259,"53,089,891"
2006,151,8.5,85.0,1189773,"132,384,315"
2002,150,8.5,85.0,729603,"32,572,577"
2000,155,8.5,67.0,1341460,"187,705,427"
1998,119,8.5,62.0,1034705,"6,719,864"
1995,106,8.5,77.0,991208,"23,341,568"
1994,110,8.5,64.0,1035236,"19,501,238"
